shot_id,scene,duration_s,visual,michel_visible,mouth_visible,dialogue_he,elevenlabs_file,hf_model,reference_inputs,camera,movement,audio_method,sfx,continuity,gen_status,approval,approval_status
0A,Scene 0 - Opening,4,"Cinematic wide of police station exterior, early morning light, empty lot, one parked patrol car",no,no,,,seedance_2_0_mini @720p,none,"Wide establishing, low angle",Slow push-in,Music only - no dialogue,"Morning ambience, distant traffic, birds",Morning golden light - sets the film's opening palette,done,pending,approved
0B-1,Scene 0 - Opening,5,"Michel walks into frame outside the station, stops, speaks to camera",yes,yes,"מוכן, לביא? היום אתה מצטרף אליי ליום במשטרה.",S00_SH02a_Michel_takeB.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,"Medium, eye level","Michel walks in, settles",ElevenLabs WAV -> sync_so lipsync. Native audio OFF,"Footsteps, uniform rustle",Same location and light as 0A,done,pending,approved
0B-2,Scene 0 - Opening,9,"Michel lists what they will see, glances upward before the helicopter line",yes,yes,"נראה איך שוטרים עובדים, איך חוקרים גניבה, מה יש בתוך ניידת... ואפילו נעלה למסוק.",S00_SH02b_Michel_takeA.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,"Medium, eye level","Michel walks in, settles",ElevenLabs WAV -> sync_so lipsync. Native audio OFF,"Footsteps, uniform rustle",Same location and light as 0A,lipsync running,pending,pending
0C,Scene 0 - Opening,3,"Michel stops, serious look, pulls a Kinder from chest pocket, holds it up",yes,yes,רק דבר אחד. / זה ציוד חירום.,S00_SH03_Michel_takeA/B/C.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,Medium close-up,"Static, hand enters frame",ElevenLabs WAV -> sync_so lipsync. Native audio OFF,"Comedic sting, pocket rustle",Kinder shape must match all later Kinder shots,pending,pending,
1A,Seq 1 - Helicopter,4,"Large police helicopter on helipad, Michel standing beside it",yes,yes,"לביא, לפעמים צריך לראות דברים שאי אפשר לראות מהקרקע.",S01_SH01_Michel.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,Low wide-angle hero shot,Slow arc around Michel,ElevenLabs WAV -> sync_so lipsync. Native audio OFF,"Idle rotor, wind",Helicopter design locked here - reuse start frame in 1B/1E/1J,pending,pending,
1B,Seq 1 - Helicopter,5,"Michel walks toward helicopter, absurd action-movie style, wind in uniform",yes,no,,,seedance_2_0_mini @720p,Start frame from 1A,Low tracking,Slow dolly alongside,Music only - overly dramatic,"Wind, rotor spin-up, dramatic score",Same helicopter and helipad as 1A,pending,pending,
1C,Seq 1 - Helicopter,5,"Helicopter takes off, cuts to aerial of roads and city",no,no,מהאוויר אפשר לראות שטח הרבה יותר גדול.,S01_SH03_Michel.wav,seedance_2_0_mini @720p,none,Aerial wide,Rising crane into aerial,VO over B-roll - no lipsync needed,"Rotor, wind, altitude ambience","Daytime, same city look throughout Seq 1",pending,pending,
1D,Seq 1 - Helicopter,5,Aerial view with police vehicles visible below on roads,no,no,"זה יכול לעזור בחיפושים, בתצפית, ובתיאום עם השוטרים שעל הקרקע.",S01_SH04_Michel.wav,seedance_2_0_mini @720p,none,High aerial,Slow drift,VO over B-roll - no lipsync needed,"Rotor, radio chatter bed",Same aerial palette as 1C,pending,pending,
1E,Seq 1 - Helicopter,4,"Camera moves around side of helicopter - reveal Michel hanging outside holding an external rig, megaphone in other hand, completely serious face",yes,no,,,seedance_2_0_mini @720p,Element: Michel-Benet-Police,Orbit reveal,Camera arcs around fuselage,Silence then wind - comedic hold,"Wind roar, rotor","COMEDY BEAT - exaggerated, never presented as real procedure",pending,pending,
1F,Seq 1 - Helicopter,4,"Michel shouting through megaphone, wind whipping",yes,yes,לביאאא! מכאן באמת רואים הכול!,S01_SH06_Michel.wav,seedance_2_0 @720p + sync_so,Element: Michel-Benet-Police,"Medium, side of aircraft",Handheld shake,"ElevenLabs clean WAV -> POST megaphone chain (high-pass, reduced bass, compression, mild distortion, metallic tone, slight echo) -> then lipsync","Megaphone, heavy wind, rotor",Voice must still clearly read as Michel after processing,pending,pending,
